node_id;change_type;category;attribute;value_old;value_new
703198;node_arms_changed;junction_topology;street_count;4;3
8810822;node_junction_changed;junction_control;junction;yes;
21456322;node_arms_changed;junction_topology;street_count;3;4
21516911;node_arms_changed;junction_topology;street_count;3;4
21673404;node_control_changed;junction_control;highway;traffic_signals;
21711417;node_control_changed;junction_control;highway;traffic_signals;
25657014;node_arms_changed;junction_topology;street_count;3;4
25675463;node_arms_changed;junction_topology;street_count;4;3
25683921;node_arms_changed;junction_topology;street_count;3;5
25685139;node_arms_changed;junction_topology;street_count;4;3
25924484;node_arms_changed;junction_topology;street_count;3;4
25936035;node_arms_changed;junction_topology;street_count;1;3
26396004;node_arms_changed;junction_topology;street_count;4;3
26424533;node_arms_changed;junction_topology;street_count;3;4
28807650;node_arms_changed;junction_topology;street_count;3;2
29381024;node_arms_changed;junction_topology;street_count;4;3
29940695;node_arms_changed;junction_topology;street_count;3;4
29941484;node_arms_changed;junction_topology;street_count;3;4
30375791;node_arms_changed;junction_topology;street_count;3;4
30566032;node_arms_changed;junction_topology;street_count;4;3
31203045;node_arms_changed;junction_topology;street_count;3;4
31203151;node_arms_changed;junction_topology;street_count;3;2
31513430;node_arms_changed;junction_topology;street_count;1;3
32642850;node_arms_changed;junction_topology;street_count;3;4
32643077;node_arms_changed;junction_topology;street_count;3;4
33126363;node_arms_changed;junction_topology;street_count;5;4
54147698;node_arms_changed;junction_topology;street_count;3;4
60793962;node_arms_changed;junction_topology;street_count;3;4
60793964;node_arms_changed;junction_topology;street_count;3;4
60793965;node_arms_changed;junction_topology;street_count;3;4
60793967;node_arms_changed;junction_topology;street_count;3;4
60816569;node_arms_changed;junction_topology;street_count;2;3
150766249;node_arms_changed;junction_topology;street_count;3;2
153048059;node_arms_changed;junction_topology;street_count;3;4
153048091;node_arms_changed;junction_topology;street_count;1;3
177524941;node_arms_changed;junction_topology;street_count;1;3
245563420;node_arms_changed;junction_topology;street_count;4;3
245804381;node_arms_changed;junction_topology;street_count;3;4
246533728;node_arms_changed;junction_topology;street_count;5;4
246640640;node_arms_changed;junction_topology;street_count;3;4
249290404;node_arms_changed;junction_topology;street_count;3;2
259417758;node_arms_changed;junction_topology;street_count;1;2
302423170;node_arms_changed;junction_topology;street_count;3;4
306619551;node_control_changed;junction_control;highway;traffic_signals;
306619556;node_control_changed;junction_control;highway;traffic_signals;
317122123;node_arms_changed;junction_topology;street_count;3;4
332453204;node_arms_changed;junction_topology;street_count;2;3
338708548;node_control_changed;junction_control;highway;;traffic_signals
365479091;node_arms_changed;junction_topology;street_count;4;3
387185094;node_arms_changed;junction_topology;street_count;3;4
524680898;node_control_changed;junction_control;highway;crossing;
903956878;node_arms_changed;junction_topology;street_count;3;4
1074216399;node_control_changed;junction_control;highway;traffic_signals;
1261894593;node_arms_changed;junction_topology;street_count;3;4
1272543034;node_arms_changed;junction_topology;street_count;3;4
1306660611;node_control_changed;junction_control;highway;;crossing
1758379171;node_control_changed;junction_control;highway;traffic_signals;
1758379208;node_arms_changed;junction_topology;street_count;5;4
1838774736;node_arms_changed;junction_topology;street_count;4;5
2196243657;node_arms_changed;junction_topology;street_count;1;4
3402089994;node_arms_changed;junction_topology;street_count;3;2
3739807343;node_arms_changed;junction_topology;street_count;4;5
3812344170;node_arms_changed;junction_topology;street_count;3;4
4922732094;node_control_changed;junction_control;highway;;crossing
5873895641;node_control_changed;junction_control;highway;crossing;
6854683430;node_arms_changed;junction_topology;street_count;3;4
8153726188;node_control_changed;junction_control;highway;;crossing
8309267438;node_arms_changed;junction_topology;street_count;1;3
8483747399;node_arms_changed;junction_topology;street_count;3;2
8488378963;node_arms_changed;junction_topology;street_count;3;4
10285921088;node_arms_changed;junction_topology;street_count;4;5
10285921090;node_arms_changed;junction_topology;street_count;4;5
11427462325;node_arms_changed;junction_topology;street_count;3;1
12439095107;node_arms_changed;junction_topology;street_count;5;6
13200388563;node_arms_changed;junction_topology;street_count;4;3
