rel_id;change_type;category;restriction_old;restriction_new;except_old;except_new;from_ways;via;to_ways
19780512;restriction_added;turn_restriction;;restriction=no_u_turn;;;22743641;21311909;22743641
19780513;restriction_added;turn_restriction;;restriction=no_right_turn;;;482271881;45181244;27352278
19780514;restriction_added;turn_restriction;;restriction=no_u_turn;;;45181244;21311909;45181244
19780515;restriction_added;turn_restriction;;restriction=no_u_turn;;;45181244;303188311;45181244
19780516;restriction_added;turn_restriction;;restriction=no_left_turn;;;45181244;303188311;27610757
19780517;restriction_added;turn_restriction;;restriction=no_right_turn;;;45181244;21311909;27352278
19780518;restriction_added;turn_restriction;;restriction=no_u_turn;;;22737026;21311909;22737026
19780519;restriction_added;turn_restriction;;restriction=no_u_turn;;;27352278;21311909;27352278
19780520;restriction_added;turn_restriction;;restriction=no_u_turn;;;27352278;21311910;27352278
19780521;restriction_added;turn_restriction;;restriction=no_right_turn;;;22737026;21311909;22743641
19792482;restriction_added;turn_restriction;;restriction=only_right_turn;;;132658242;300151732;1447418308
19826803;restriction_added;turn_restriction;;restriction=only_straight_on;;;1251272642;11631658800;1251272640
19826804;restriction_added;turn_restriction;;restriction=only_straight_on;;;1251272625;11631642305;1251272621
19826805;restriction_added;turn_restriction;;restriction=only_straight_on;;;1251272645;11631658829;1251272643
19826806;restriction_added;turn_restriction;;restriction=no_u_turn;;;1251272627;11631642322;1251272626
19826807;restriction_added;turn_restriction;;restriction=only_straight_on;;;1251272623;11631642301;1251272619
19826808;restriction_added;turn_restriction;;restriction=only_straight_on;;;1364614693;12637266365;1450025089
19826809;restriction_added;turn_restriction;;restriction=only_straight_on;;;1364614689;12637266337;1441609303
19826811;restriction_added;turn_restriction;;restriction=only_straight_on;;;1449891307;6393782268;682681283
19826812;restriction_added;turn_restriction;;restriction=only_straight_on;;;1450025121;6393782259;1449891317
19826813;restriction_added;turn_restriction;;restriction=only_straight_on;;;1251272639;11631658793;1251272640
19874678;restriction_added;turn_restriction;;restriction=only_straight_on;;;1453142839;3686657876;1091815633
19880567;restriction_added;turn_restriction;;restriction=no_u_turn;;;288232119;143286009;288231847
19881169;restriction_added;turn_restriction;;restriction=no_left_turn;;;456423110;3893616917;1453565267
19937111;restriction_added;turn_restriction;;restriction=only_right_turn;;bicycle;209195800;236815877;1457112039
19937564;restriction_added;turn_restriction;;restriction=no_u_turn;;;1457146975;26396004;1457146976
19937565;restriction_added;turn_restriction;;restriction=only_straight_on;;;1457146976;13363703430;4643632
19938649;restriction_added;turn_restriction;;restriction=only_left_turn;;;1457207626;1271133079;481388305
19954344;restriction_added;turn_restriction;;restriction=no_left_turn;;;140304139;140304130,230064199;4053720
19954345;restriction_added;turn_restriction;;restriction=no_u_turn;;;140304139;317122123;140304139
19954346;restriction_added;turn_restriction;;restriction=no_u_turn;;;355169838;4053569,140304130;230064199
19964017;restriction_added;turn_restriction;;restriction=no_u_turn;;;140304130;4053720,230064199;147231070
19964018;restriction_added;turn_restriction;;restriction=no_u_turn;;;140304130;230064199;4053720
19964019;restriction_added;turn_restriction;;restriction=no_u_turn;;;4053569;140304130;230064199
19964020;restriction_added;turn_restriction;;restriction=no_u_turn;;;250677010;140304130,230064199;4053720
19964021;restriction_added;turn_restriction;;restriction=no_left_turn;;;230064199;708607;4053720
20016621;restriction_added;turn_restriction;;restriction=no_left_turn;;;1034305022;4692846183;475547252
20028699;restriction_added;turn_restriction;;restriction=no_left_turn;;;548175978;259418798;131628075
20028700;restriction_added;turn_restriction;;restriction=no_right_turn;;;184575097;259418798;131628075
20047169;restriction_added;turn_restriction;;restriction=only_straight_on;;;479544430;473232759;116764552
20047170;restriction_added;turn_restriction;;restriction=only_straight_on;;;1250344253;473232774;116999350
20047171;restriction_added;turn_restriction;;restriction=only_straight_on;;;143368567;25665985;116764551
20056412;restriction_added;turn_restriction;;restriction=only_straight_on;;;1465125285;9525411554;1465125286
20056413;restriction_added;turn_restriction;;restriction=only_straight_on;;;1443933983;9525411554;1443933982
20056414;restriction_added;turn_restriction;;restriction=only_straight_on;;;1443933982;9525411554;1443532017
20056415;restriction_added;turn_restriction;;restriction=only_straight_on;;;1033963216;9525411551;1465125288
20056416;restriction_added;turn_restriction;;restriction=only_straight_on;;;116770754;9525411551;1465125287
20066068;restriction_added;turn_restriction;;restriction=no_u_turn;;;137373558;896277242;896277241
20066069;restriction_added;turn_restriction;;restriction=no_u_turn;;;481388666;1465792401;1465792402
20066070;restriction_added;turn_restriction;;restriction=no_u_turn;;;1465792402;896277242;481388666
20066071;restriction_added;turn_restriction;;restriction=no_left_turn;;;1465792401;1465792402;896277242
20066072;restriction_added;turn_restriction;;restriction=no_right_turn;;;896277242;481388666;1465792401
