way_id;change_type;category;attribute;value_old;value_new;name;highway;length_m;confidence;note;speed_kph_old;speed_kph_new;speed_delta
4019741;attr_changed;speed;maxspeed;100;100|80;Rozvadovská spojka;trunk;1948.2;low;hodnota odvozena ze sloučené hrany – ověřit ručně;100.0;100.0;0.0
4064058;attr_changed;speed;maxspeed;30|40;30;;trunk_link;126.9;low;hodnota odvozena ze sloučené hrany – ověřit ručně (rozsah staré 30.0-40.0, nové 30.0-30.0 km/h);40.0;30.0;-10.0
4259466;attr_changed;speed;maxspeed;50|80;80;;trunk_link;260.9;low;hodnota odvozena ze sloučené hrany – ověřit ručně (rozsah staré 50.0-80.0, nové 80.0-80.0 km/h);80.0;80.0;0.0
4568584;attr_changed;speed;maxspeed;;30;U Přechodu;residential;90.7;low;hodnota odvozena ze sloučené hrany – ověřit ručně;;30.0;
4641287;attr_changed;speed;maxspeed;;50;Prokopova;tertiary;58.6;low;hodnota odvozena ze sloučené hrany – ověřit ručně;;50.0;
4641536;attr_changed;speed;maxspeed;;50;Jana Želivského;secondary;37.5;high;;;50.0;
4646741;attr_changed;speed;maxspeed;;50;28. pluku;tertiary;57.9;high;;;50.0;
4646770;attr_changed;speed;maxspeed;;50;Altajská;residential;53.0;high;;;50.0;
4646772;attr_changed;speed;maxspeed;;50;Archangelská;residential;81.3;high;;;50.0;
4648400;attr_changed;speed;maxspeed;;30;Pod Žvahovem;residential;65.4;high;;;30.0;
4652359;attr_changed;speed;maxspeed;20;50;Branská;living_street;911.2;high;;20.0;50.0;30.0
4672698;attr_changed;speed;maxspeed;;30;Na Srpečku;residential;431.8;low;hodnota odvozena ze sloučené hrany – ověřit ručně;;30.0;
4705457;attr_changed;speed;maxspeed;;30;Cílkova;residential;323.8;high;;;30.0;
4709056;attr_changed;speed;maxspeed;;30;Novovysočanská;residential;276.8;high;;;30.0;
4709260;attr_changed;speed;maxspeed;50;30;Cafourkova;residential;226.9;high;;50.0;30.0;-20.0
4709264;attr_changed;speed;maxspeed;;50;Vratislavská;residential;246.5;high;;;50.0;
4709265;attr_changed;speed;maxspeed;;50;Katovická;residential;309.6;low;hodnota odvozena ze sloučené hrany – ověřit ručně;;50.0;
4709267;attr_changed;speed;maxspeed;;50;Poznaňská;residential;479.6;low;hodnota odvozena ze sloučené hrany – ověřit ručně;;50.0;
4709276;attr_changed;speed;maxspeed;;50;Dolákova;residential;190.7;high;;;50.0;
4709283;attr_changed;speed;maxspeed;;50;Lešenská;residential;194.8;high;;;50.0;
4709471;attr_changed;speed;maxspeed;;50;Musílkova;residential;119.0;high;;;50.0;
4711825;attr_changed;speed;maxspeed;;30;Ovocná;residential;595.2;high;;;30.0;
4711828;attr_changed;speed;maxspeed;;30;Sadová;residential;263.3;high;;;30.0;
4713279;attr_changed;speed;maxspeed;;50;Žitavského;tertiary;398.8;high;;;50.0;
4713280;attr_changed;speed;maxspeed;;50;Zbraslavské náměstí;tertiary;57.1;high;;;50.0;
4728446;attr_changed;speed;maxspeed;30;;Hůrská;residential;13.1;low;hodnota odvozena ze sloučené hrany – ověřit ručně;30.0;;
4738427;attr_changed;speed;maxspeed;;30;Dolnojirčanská|Lojovická;residential;384.1;low;hodnota odvozena ze sloučené hrany – ověřit ručně;;30.0;
4738429;attr_changed;speed;maxspeed;;30;Dolnojirčanská|Lojovická;residential;210.3;low;hodnota odvozena ze sloučené hrany – ověřit ručně;;30.0;
4738430;attr_changed;speed;maxspeed;;30;U Vodojemu;residential;217.5;high;;;30.0;
4826800;attr_changed;speed;maxspeed;;30;Dolnojirčanská;residential;408.3;high;;;30.0;
4826812;attr_changed;speed;maxspeed;;30;Šatrova;residential;174.2;high;;;30.0;
4826818;attr_changed;speed;maxspeed;;30;K Hájovně;residential;490.1;high;;;30.0;
4826850;attr_changed;speed;maxspeed;;30;Ke Kamýku;residential;367.4;high;;;30.0;
4826853;attr_changed;speed;maxspeed;;30;Vranská;residential;174.1;high;;;30.0;
4877346;attr_changed;speed;maxspeed;;30;U Skalky;residential;128.2;low;hodnota odvozena ze sloučené hrany – ověřit ručně;;30.0;
4877349;attr_changed;speed;maxspeed;;30;;unclassified;204.5;high;;;30.0;
4877366;attr_changed;speed;maxspeed;;50;Ratibořská;residential;404.1;high;;;50.0;
4877371;attr_changed;speed;maxspeed;;50;Olštýnská;residential;180.8;high;;;50.0;
4888651;attr_changed;speed;maxspeed;50;30;Pšenčíkova;residential;423.1;high;;50.0;30.0;-20.0
4888684;attr_changed;speed;maxspeed;;30;Liškova;residential;173.3;high;;;30.0;
4910450;attr_changed;speed;maxspeed;;30;Vranská;residential;356.3;high;;;30.0;
8098186;attr_changed;speed;maxspeed;;40;Záběhlická;tertiary;331.1;high;;;40.0;
8103258;attr_changed;speed;maxspeed;50;;Kongresová;tertiary;157.1;low;hodnota odvozena ze sloučené hrany – ověřit ručně;50.0;;
8151688;attr_changed;speed;maxspeed;;50;Dolákova;residential;250.4;high;;;50.0;
8361687;attr_changed;speed;maxspeed;40;50;Lamačova;tertiary;13.4;high;;40.0;50.0;10.0
8587870;attr_changed;speed;maxspeed;50;30;Nad Šárkou;residential;436.0;high;;50.0;30.0;-20.0
8587873;attr_changed;speed;maxspeed;50;30;Na Dyrince;residential;80.5;high;;50.0;30.0;-20.0
8587878;attr_changed;speed;maxspeed;50;30;Fetrovská|Nad Šárkou;residential;234.7;low;hodnota odvozena ze sloučené hrany – ověřit ručně;50.0;30.0;-20.0
8588094;attr_changed;speed;maxspeed;50;30;Gensovská;residential;76.7;high;;50.0;30.0;-20.0
8588096;attr_changed;speed;maxspeed;50;30;Na Pahoubce;residential;178.4;high;;50.0;30.0;-20.0
10515656;attr_changed;speed;maxspeed;50;30;Soborská;residential;508.5;high;;50.0;30.0;-20.0
10902677;attr_changed;speed;maxspeed;30;;Trojská;tertiary;114.5;low;hodnota odvozena ze sloučené hrany – ověřit ručně;30.0;;
11738580;attr_changed;speed;maxspeed;100;100|80;Rozvadovská spojka;trunk;1948.2;low;hodnota odvozena ze sloučené hrany – ověřit ručně;100.0;100.0;0.0
11738581;attr_changed;speed;maxspeed;100;100|80;Rozvadovská spojka;trunk;1948.2;low;hodnota odvozena ze sloučené hrany – ověřit ručně;100.0;100.0;0.0
12211556;attr_changed;speed;maxspeed;30|50;30;Václavské náměstí;residential;82.1;low;hodnota odvozena ze sloučené hrany – ověřit ručně (rozsah staré 30.0-50.0, nové 30.0-30.0 km/h);50.0;30.0;-20.0
12245395;attr_changed;speed;maxspeed;50;;Cíglerova;tertiary;94.3;low;hodnota odvozena ze sloučené hrany – ověřit ručně;50.0;;
12543122;attr_changed;speed;maxspeed;50|90;90;K Austisu;tertiary;1368.3;low;hodnota odvozena ze sloučené hrany – ověřit ručně (rozsah staré 50.0-90.0, nové 90.0-90.0 km/h);90.0;90.0;0.0
14296504;attr_changed;speed;maxspeed;;30;K Moravině;residential;109.1;high;;;30.0;
15227019;attr_changed;speed;maxspeed;;50;U Uranie;secondary;192.9;low;hodnota odvozena ze sloučené hrany – ověřit ručně;;50.0;
15228907;attr_changed;speed;maxspeed;;50;Ortenovo náměstí;secondary;55.4;low;hodnota odvozena ze sloučené hrany – ověřit ručně;;50.0;
15432160;attr_changed;speed;maxspeed;;30;Kaňkovského;residential;230.4;high;;;30.0;
15432161;attr_changed;speed;maxspeed;;30;Šiškova;residential;91.2;high;;;30.0;
16275105;attr_changed;speed;maxspeed;50;30;Klapkova;tertiary;320.9;high;;50.0;30.0;-20.0
16785073;attr_changed;speed;maxspeed;;50;Spořická;tertiary;473.4;high;;;50.0;
17045261;attr_changed;speed;maxspeed;;50;Bucharova;secondary;157.6;low;hodnota odvozena ze sloučené hrany – ověřit ručně;;50.0;
18368137;attr_changed;speed;maxspeed;;50;Pražského;residential;67.1;high;;;50.0;
19615400;attr_changed;speed;maxspeed;;30;Famfulíkova;residential;92.8;high;;;30.0;
21618959;attr_changed;speed;maxspeed;;30;Třebenická;residential;15.3;high;;;30.0;
21995839;attr_changed;speed;maxspeed;30;20;náměstí Jiřího z Poděbrad|náměstí Jiřího z Poděbrad;living_street;96.1;low;hodnota odvozena ze sloučené hrany – ověřit ručně;30.0;20.0;-10.0
22737137;attr_changed;speed;maxspeed;;50;Zbraslavské náměstí;tertiary;46.1;low;hodnota odvozena ze sloučené hrany – ověřit ručně;;50.0;
22737172;attr_changed;speed;maxspeed;;50;Zbraslavské náměstí;tertiary;68.3;high;;;50.0;
22737183;attr_changed;speed;maxspeed;;50;;tertiary;145.4;high;;;50.0;
22737184;attr_changed;speed;maxspeed;;50;;tertiary;36.7;high;;;50.0;
22758802;attr_changed;speed;maxspeed;;50;Glowackého|Krosenská;residential;407.7;low;hodnota odvozena ze sloučené hrany – ověřit ručně;;50.0;
22758803;attr_changed;speed;maxspeed;;50;Krosenská;residential;220.0;high;;;50.0;
22758805;attr_changed;speed;maxspeed;;50;Notečská;residential;317.0;high;;;50.0;
22758806;attr_changed;speed;maxspeed;;50;Lublinská;residential;156.0;high;;;50.0;
22758816;attr_changed;speed;maxspeed;;50;Podhajská pole;residential;160.7;high;;;50.0;
22758817;attr_changed;speed;maxspeed;;50;Bukolská|Lindavská;residential;406.0;low;hodnota odvozena ze sloučené hrany – ověřit ručně;;50.0;
22758818;attr_changed;speed;maxspeed;;50;Bukolská|Lindavská;residential;434.5;low;hodnota odvozena ze sloučené hrany – ověřit ručně;;50.0;
22758819;attr_changed;speed;maxspeed;;50;Toruňská;residential;329.6;low;hodnota odvozena ze sloučené hrany – ověřit ručně;;50.0;
22758820;attr_changed;speed;maxspeed;;50;Štětínská;residential;368.9;high;;;50.0;
22758821;attr_changed;speed;maxspeed;;50;Bydhošťská;residential;100.3;high;;;50.0;
22758822;attr_changed;speed;maxspeed;;50;Sopotská;residential;245.2;high;;;50.0;
22758823;attr_changed;speed;maxspeed;;50;Opolská;residential;46.0;high;;;50.0;
22758824;attr_changed;speed;maxspeed;;50;Sopotská;residential;76.4;high;;;50.0;
22758871;attr_changed;speed;maxspeed;50;30;Bojasova;residential;32.9;high;;50.0;30.0;-20.0
22908216;attr_changed;speed;maxspeed;30;;Na Vysoké Ⅱ;residential;50.9;low;hodnota odvozena ze sloučené hrany – ověřit ručně;30.0;;
23232431;attr_changed;speed;maxspeed;30|50;50;Zájezdská;tertiary;365.3;low;hodnota odvozena ze sloučené hrany – ověřit ručně (rozsah staré 30.0-50.0, nové 50.0-50.0 km/h);50.0;50.0;0.0
23607757;attr_changed;speed;maxspeed;;50;U Pentlovky;residential;208.6;high;;;50.0;
23607773;attr_changed;speed;maxspeed;;50;Krynická;residential;46.2;high;;;50.0;
23607897;attr_changed;speed;maxspeed;;50;Eledrova;residential;396.1;high;;;50.0;
23607900;attr_changed;speed;maxspeed;;50;Dolákova;residential;55.4;high;;;50.0;
23607946;attr_changed;speed;maxspeed;;50;Kusého;residential;114.2;high;;;50.0;
23607953;attr_changed;speed;maxspeed;;50;;residential;17.2;high;;;50.0;
23693175;attr_changed;speed;maxspeed;;50;Hanouškova;residential;232.8;high;;;50.0;
23693224;attr_changed;speed;maxspeed;;30;;residential;170.8;high;;;30.0;
24811436;attr_changed;speed;maxspeed;;30;Famfulíkova;residential;295.5;high;;;30.0;
25258312;attr_changed;speed;maxspeed;20;30;K Lesu;residential;167.7;high;;20.0;30.0;10.0
25258313;attr_changed;speed;maxspeed;;30;K Lesu;residential;32.4;low;hodnota odvozena ze sloučené hrany – ověřit ručně;;30.0;
25316990;attr_changed;speed;maxspeed;;30;K Lesu;residential;194.3;low;hodnota odvozena ze sloučené hrany – ověřit ručně;;30.0;
25374561;attr_changed;speed;maxspeed;;30;Ohrobecká;residential;86.5;high;;;30.0;
25418526;attr_changed;speed;maxspeed;;30;Vrážská;tertiary;298.9;low;hodnota odvozena ze sloučené hrany – ověřit ručně;;30.0;
25464595;attr_changed;speed;maxspeed;40;;Granátová;living_street;477.3;low;hodnota odvozena ze sloučené hrany – ověřit ručně;40.0;;
25464832;attr_changed;speed;maxspeed;;50;;tertiary;123.7;low;hodnota odvozena ze sloučené hrany – ověřit ručně;;50.0;
25464833;attr_changed;speed;maxspeed;;50;;tertiary;164.7;high;;;50.0;
25655829;attr_changed;speed;maxspeed;50;30;Zlatnice;residential;28.9;high;;50.0;30.0;-20.0
26167731;attr_changed;speed;maxspeed;70;50|70;Barrandovský most;trunk;355.1;low;hodnota odvozena ze sloučené hrany – ověřit ručně;70.0;70.0;0.0
26167754;attr_changed;speed;maxspeed;70;80;Barrandovský most;trunk;84.8;low;hodnota odvozena ze sloučené hrany – ověřit ručně;70.0;80.0;10.0
26226911;attr_changed;speed;maxspeed;70;70|80;Barrandovský most;trunk;293.6;low;hodnota odvozena ze sloučené hrany – ověřit ručně;70.0;80.0;10.0
26249870;attr_changed;speed;maxspeed;;30;Novostrašnická|Pelyňková;residential;410.3;low;hodnota odvozena ze sloučené hrany – ověřit ručně;;30.0;
26282804;attr_changed;speed;maxspeed;20|50;50;;residential;1371.0;low;hodnota odvozena ze sloučené hrany – ověřit ručně (rozsah staré 20.0-50.0, nové 50.0-50.0 km/h);50.0;50.0;0.0
26377878;attr_changed;speed;maxspeed;50;30;Zlatnice;residential;106.6;low;hodnota odvozena ze sloučené hrany – ověřit ručně;50.0;30.0;-20.0
26427953;attr_changed;speed;maxspeed;;50;Gogolova|Na Baště svatého Tomáše;residential;272.1;low;hodnota odvozena ze sloučené hrany – ověřit ručně;;50.0;
26769291;attr_changed;speed;maxspeed;50;30;Soborská;residential;267.7;low;hodnota odvozena ze sloučené hrany – ověřit ručně;50.0;30.0;-20.0
27043818;attr_changed;speed;maxspeed;50|70;;K Letišti;residential;125.7;low;hodnota odvozena ze sloučené hrany – ověřit ručně;70.0;;
27994391;attr_changed;speed;maxspeed;;30;Nad Libeňským nádražím|Prokopka;residential;151.1;low;hodnota odvozena ze sloučené hrany – ověřit ručně;;30.0;
27994392;attr_changed;speed;maxspeed;;30;K Trati;residential;59.8;high;;;30.0;
27994393;attr_changed;speed;maxspeed;;30;Vysočanské náměstí;residential;45.6;high;;;30.0;
28189964;attr_changed;speed;maxspeed;;30;Peškova;residential;42.4;high;;;30.0;
30055620;attr_changed;speed;maxspeed;;30;Nad Manovkou|Ve Višňovce;residential;300.3;low;hodnota odvozena ze sloučené hrany – ověřit ručně;;30.0;
30085188;attr_changed;speed;maxspeed;;30;Na Višňovce;residential;147.2;high;;;30.0;
30093493;attr_changed;speed;maxspeed;40;40|50;Lamačova;tertiary;112.7;low;hodnota odvozena ze sloučené hrany – ověřit ručně;40.0;50.0;10.0
30097222;attr_changed;speed;maxspeed;;30;Pod Radnicí;residential;95.6;high;;;30.0;
30131053;attr_changed;speed;maxspeed;50;30;Fetrovská|Nad Šárkou;residential;234.7;low;hodnota odvozena ze sloučené hrany – ověřit ručně;50.0;30.0;-20.0
31172029;attr_changed;speed;maxspeed;40|50;40;K Cikánce;residential|unclassified;460.8;low;hodnota odvozena ze sloučené hrany – ověřit ručně (rozsah staré 40.0-50.0, nové 40.0-40.0 km/h);50.0;40.0;-10.0
31172031;attr_changed;speed;maxspeed;30|50;50;;unclassified;614.7;low;hodnota odvozena ze sloučené hrany – ověřit ručně (rozsah staré 30.0-50.0, nové 50.0-50.0 km/h);50.0;50.0;0.0
31358384;attr_changed;speed;maxspeed;;50;Bucharova;secondary;53.9;high;;;50.0;
31928987;attr_changed;speed;maxspeed;50;20|50;Hlubočepská;living_street|tertiary;124.0;low;hodnota odvozena ze sloučené hrany – ověřit ručně;50.0;50.0;0.0
32035424;attr_changed;speed;maxspeed;;30;Nad Libeňským nádražím;residential;29.8;high;;;30.0;
32039684;attr_changed;speed;maxspeed;;30;Vysočanské náměstí;residential;23.6;high;;;30.0;
32039701;attr_changed;speed;maxspeed;;30;Nad Libeňským nádražím|Prokopka;residential;151.1;low;hodnota odvozena ze sloučené hrany – ověřit ručně;;30.0;
32148731;attr_changed;speed;maxspeed;;30;;residential;143.1;low;hodnota odvozena ze sloučené hrany – ověřit ručně;;30.0;
32148734;attr_changed;speed;maxspeed;;30;;residential;143.1;low;hodnota odvozena ze sloučené hrany – ověřit ručně;;30.0;
32505420;attr_changed;speed;maxspeed;;50;;tertiary_link;29.2;high;;;50.0;
32955232;attr_changed;speed;maxspeed;20|CZ:urban;20;K Nové Vsi|Prokopské údolí;residential|unclassified;1122.9;low;hodnota odvozena ze sloučené hrany – ověřit ručně (rozsah staré 20.0-50.0, nové 20.0-20.0 km/h);50.0;20.0;-30.0
33181043;attr_changed;speed;maxspeed;20|CZ:urban;20;K Nové Vsi|Prokopské údolí;residential|unclassified;1122.9;low;hodnota odvozena ze sloučené hrany – ověřit ručně (rozsah staré 20.0-50.0, nové 20.0-20.0 km/h);50.0;20.0;-30.0
33181048;attr_changed;speed;maxspeed;20|CZ:urban;20;K Nové Vsi|Prokopské údolí;residential|unclassified;1122.9;low;hodnota odvozena ze sloučené hrany – ověřit ručně (rozsah staré 20.0-50.0, nové 20.0-20.0 km/h);50.0;20.0;-30.0
33630849;attr_changed;speed;maxspeed;20|30;30;Votavova;residential;141.4;low;hodnota odvozena ze sloučené hrany – ověřit ručně (rozsah staré 20.0-30.0, nové 30.0-30.0 km/h);30.0;30.0;0.0
34397004;attr_changed;speed;maxspeed;;50;Poznaňská|Těšínská;residential;184.4;low;hodnota odvozena ze sloučené hrany – ověřit ručně;;50.0;
34398220;attr_changed;speed;maxspeed;30;;Lovosická;tertiary;74.1;low;hodnota odvozena ze sloučené hrany – ověřit ručně;30.0;;
36975564;attr_changed;speed;maxspeed;;50;Mazovská;residential;160.4;high;;;50.0;
37079977;attr_changed;speed;maxspeed;20;;Vlasty Hilské;living_street;256.7;low;hodnota odvozena ze sloučené hrany – ověřit ručně;20.0;;
39537608;attr_changed;speed;maxspeed;;50;Kodaňská;residential;97.1;high;;;50.0;
39549478;attr_changed;speed;maxspeed;30;50;Slévačská;tertiary;164.6;low;hodnota odvozena ze sloučené hrany – ověřit ručně;30.0;50.0;20.0
39549479;attr_changed;speed;maxspeed;30;50;Slévačská;tertiary;164.6;low;hodnota odvozena ze sloučené hrany – ověřit ručně;30.0;50.0;20.0
39612787;attr_changed;speed;maxspeed;50;;Kongresová;tertiary;157.1;low;hodnota odvozena ze sloučené hrany – ověřit ručně;50.0;;
39626299;attr_changed;speed;maxspeed;;30;Šiškova;residential;122.1;high;;;30.0;
41919457;attr_changed;speed;maxspeed;20|30|CZ:urban;20|30;K Nové Vsi|Prokopské údolí;residential|unclassified;1797.9;low;hodnota odvozena ze sloučené hrany – ověřit ručně (rozsah staré 20.0-50.0, nové 20.0-30.0 km/h);50.0;30.0;-20.0
42720473;attr_changed;speed;maxspeed;50|80;80;Kbelská;trunk;509.8;low;hodnota odvozena ze sloučené hrany – ověřit ručně (rozsah staré 50.0-80.0, nové 80.0-80.0 km/h);80.0;80.0;0.0
46423932;attr_changed;speed;maxspeed;;50;Bartoňova;tertiary;894.3;low;hodnota odvozena ze sloučené hrany – ověřit ručně;;50.0;
46621431;attr_changed;speed;maxspeed;50;30;Bojasova|Slancova;residential;442.5;low;hodnota odvozena ze sloučené hrany – ověřit ručně;50.0;30.0;-20.0
46983735;attr_changed;speed;maxspeed;;50;Těšínská;residential;59.0;high;;;50.0;
50069267;attr_changed;speed;maxspeed;;50;;residential;33.1;high;;;50.0;
61226798;attr_changed;speed;maxspeed;40;20;U Sportoviště;living_street;64.0;high;;40.0;20.0;-20.0
62281861;attr_changed;speed;maxspeed;;30;Cihlářova;residential;68.2;high;;;30.0;
68416953;attr_changed;speed;maxspeed;50;30;Pod Stanicí;residential;62.0;high;;50.0;30.0;-20.0
73227600;attr_changed;speed;maxspeed;70|80;80;Barrandovský most|Jižní spojka;trunk;1057.6;low;hodnota odvozena ze sloučené hrany – ověřit ručně (rozsah staré 70.0-80.0, nové 80.0-80.0 km/h);80.0;80.0;0.0
73227632;attr_changed;speed;maxspeed;70;50|70;Barrandovský most;trunk;228.4;low;hodnota odvozena ze sloučené hrany – ověřit ručně;70.0;70.0;0.0
78619921;attr_changed;speed;maxspeed;130|80;130;;motorway_link;244.0;low;hodnota odvozena ze sloučené hrany – ověřit ručně (rozsah staré 80.0-130.0, nové 130.0-130.0 km/h);130.0;130.0;0.0
78796522;attr_changed;speed;maxspeed;30|50;30;Trojská;tertiary;679.8;low;hodnota odvozena ze sloučené hrany – ověřit ručně (rozsah staré 30.0-50.0, nové 30.0-30.0 km/h);50.0;30.0;-20.0
78796528;attr_changed;speed;maxspeed;;50;Košalinská;residential;37.4;high;;;50.0;
78796531;attr_changed;speed;maxspeed;30|50;30;Trojská;tertiary;679.8;low;hodnota odvozena ze sloučené hrany – ověřit ručně (rozsah staré 30.0-50.0, nové 30.0-30.0 km/h);50.0;30.0;-20.0
79265858;attr_changed;speed;maxspeed;;50;Zálesí;tertiary;186.5;high;;;50.0;
79761173;attr_changed;speed;maxspeed;;50;Svídnická;residential;132.7;high;;;50.0;
81830680;attr_changed;speed;maxspeed;;30;Na Plzeňce;residential;78.3;high;;;30.0;
83103567;attr_changed;speed;maxspeed;40;20;Za Fořtem;living_street;195.1;high;;40.0;20.0;-20.0
83103569;attr_changed;speed;maxspeed;40;20;Na Rovném;living_street;83.3;high;;40.0;20.0;-20.0
89151145;attr_changed;speed;maxspeed;;50;Lindavská;residential;10.5;high;;;50.0;
89151149;attr_changed;speed;maxspeed;;50;Čimická;residential;248.5;low;hodnota odvozena ze sloučené hrany – ověřit ručně;;50.0;
90830549;attr_changed;speed;maxspeed;;30;Slezanů;residential;126.2;high;;;30.0;
100347892;attr_changed;speed;maxspeed;;50;Sosnovecká;residential;202.8;high;;;50.0;
109483700;attr_changed;speed;maxspeed;50;30;Bojasova|Slancova;residential;442.5;low;hodnota odvozena ze sloučené hrany – ověřit ručně;50.0;30.0;-20.0
110516682;attr_changed;speed;maxspeed;30;20|30;Nad úvozem|Zaječická;residential;218.1;low;hodnota odvozena ze sloučené hrany – ověřit ručně;30.0;30.0;0.0
113502701;attr_changed;speed;maxspeed;;50;;residential;19.4;high;;;50.0;
113520776;attr_changed;speed;maxspeed;;30;Kaňkovského;residential;19.2;high;;;30.0;
113520779;attr_changed;speed;maxspeed;;30;Šiškova;residential;21.8;high;;;30.0;
114439780;attr_changed;speed;maxspeed;;50;Kodaňská;tertiary;83.3;high;;;50.0;
114750735;attr_changed;speed;maxspeed;50;;Cíglerova;tertiary;94.3;low;hodnota odvozena ze sloučené hrany – ověřit ručně;50.0;;
115590872;attr_changed;speed;maxspeed;20|CZ:urban;20;K Nové Vsi|Prokopské údolí;residential|unclassified;1122.9;low;hodnota odvozena ze sloučené hrany – ověřit ručně (rozsah staré 20.0-50.0, nové 20.0-20.0 km/h);50.0;20.0;-30.0
120827886;attr_changed;speed;maxspeed;40|50;30;;trunk_link;92.6;low;hodnota odvozena ze sloučené hrany – ověřit ručně (rozsah staré 40.0-50.0, nové 30.0-30.0 km/h);50.0;30.0;-20.0
121254586;attr_changed;speed;maxspeed;70;50;Barrandovský most;trunk;158.4;high;;70.0;50.0;-20.0
124022632;attr_changed;speed;maxspeed;40;30|40;Střešovická;tertiary;128.3;low;hodnota odvozena ze sloučené hrany – ověřit ručně;40.0;40.0;0.0
126233080;attr_changed;speed;maxspeed;;50;Kodaňská;tertiary;337.5;high;;;50.0;
128214191;attr_changed;speed;maxspeed;;50;Musílkova;residential;111.7;high;;;50.0;
128351977;attr_changed;speed;maxspeed;30;;náměstí Jiřího z Poděbrad;tertiary;49.6;low;hodnota odvozena ze sloučené hrany – ověřit ručně;30.0;;
